gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
LOC729449,decrease,,-1.118,0.0189,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC729449,decrease,,-1.118,0.0189,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC729484,decrease,,-0.9718,0.0403,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC729484,decrease,,-0.9718,0.0403,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC729684,decrease,,-0.9493,0.0421,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC729684,decrease,,-0.9493,0.0421,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730452,decrease,,-1.1811,0.0234,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730452,decrease,,-1.1811,0.0234,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730861,decrease,,-1.1957,0.0096,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730861,decrease,,-1.1957,0.0096,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730861,increase,,1042404,0.0093,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730902,decrease,,-1.246,0.0196,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC730902,decrease,,-1.246,0.0196,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731224,decrease,,-1.0591,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731224,decrease,,-1.0591,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731224,increase,,313380,0.0374,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731681,decrease,,-1.1081,0.0384,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731681,decrease,,-1.1081,0.0384,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731688,decrease,,-0.9818,0.0296,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC731688,decrease,,-0.9818,0.0296,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LPIN1,increase,,985427,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LPIN1,increase,,985427,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LRRC2,increase,,527047,0.015,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LRRC2,increase,,527047,0.015,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LRRC39,decrease,,-1.5007,0.021,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LRRC39,decrease,,-1.5007,0.021,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LTF,decrease,,-1.3586,0.0359,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MBTD1,increase,,1.201,0.0388,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MC2R,decrease,,-1.5728,0.0263,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ME1,decrease,,-1.3766,0.0122,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ME1,decrease,,-1.3766,0.0122,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
METAP2,decrease,,-0.9147,0.0409,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
METAP2,decrease,,-0.9147,0.0409,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MGC14376,decrease,,-0.8694,0.0457,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MGC14376,decrease,,-0.8694,0.0457,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MRVI1,decrease,,-1.2132,0.0213,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MYCT1,decrease,,-1.3266,0.0239,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MYCT1,decrease,,-1.3266,0.0239,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MYOM2,increase,,1.745,0.0009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
MYOM2,increase,,1.745,0.0009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NCKAP1,decrease,,-1.0357,0.0403,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NCKAP1,decrease,,-1.0357,0.0403,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NDUFA5,decrease,,-1.2251,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NDUFA5,decrease,,-1.2251,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NDUFA5,decrease,,-0.9201,0.0469,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NDUFA5,decrease,,-0.9201,0.0469,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NFYB,decrease,,-1.3463,0.0016,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NFYB,decrease,,-1.3463,0.0016,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NMU,decrease,,-1.3105,0.0325,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NMU,decrease,,-1.3105,0.0325,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NOVA2,decrease,,-1.2591,0.0343,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
NPSR1,decrease,,-1.3877,0.0195,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OCLN,increase,,1.405,0.04,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OCLN,increase,,1.405,0.04,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OLFM1,decrease,,-1.0883,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OLFM1,decrease,,-1.0883,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OLFM4,decrease,,-1.9813,0.0002,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OLFM4,decrease,,-1.1649,0.0378,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OLFM4,decrease,,-1.1649,0.0378,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OPN1SW,decrease,,-1.3091,0.0461,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OR2W3,decrease,,-1.4768,0.0111,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OR5AP2,decrease,,-1.8092,0.0192,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OR6W1P,decrease,,-1.3568,0.0141,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
OR8D2,decrease,,-1.5671,0.0221,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PCDHB4,decrease,,-1.5314,0.0486,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PDCD10,decrease,,-1.1321,0.0142,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PDCD10,decrease,,-1.1321,0.0142,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PDGFC,decrease,,-0.9309,0.028,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PDGFC,decrease,,-0.9309,0.028,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PFDN4,decrease,,-1.4935,0.0166,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PFDN4,decrease,,-1.4935,0.0166,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PFDN4,increase,,1287116,0.0472,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PFDN5,decrease,,-1.0015,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PFDN5,decrease,,-1.0015,0.0344,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PGAP1,decrease,,-1.1701,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
PGAP1,decrease,,-1.1701,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
